epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6973703503608704,0.9559375047683716,1.0250412225723267,0.7738333344459534,0.9775885343551636,0.6888323426246643
1,0.7967777848243713,0.9796820878982544,0.625847339630127,0.8036666512489319,0.9825050830841064,0.5761831402778625
2,0.8187777996063232,0.9834039211273193,0.547525942325592,0.815666675567627,0.9850144982337952,0.5225998759269714
3,0.8274999856948853,0.9852414131164551,0.5068398714065552,0.8306666612625122,0.9863426685333252,0.49209752678871155
4,0.8358703851699829,0.9862883687019348,0.48237141966819763,0.8291666507720947,0.9867807030677795,0.47727030515670776
5,0.8416481614112854,0.9870030283927917,0.4644342064857483,0.8336666822433472,0.987571656703949,0.45874059200286865
6,0.846666693687439,0.9876483082771301,0.44949454069137573,0.8358333110809326,0.9878681898117065,0.45095348358154297
7,0.8490740656852722,0.9881205558776855,0.43889138102531433,0.8454999923706055,0.9886372685432434,0.43585795164108276
8,0.8530185222625732,0.9885339736938477,0.4289751648902893,0.8461666703224182,0.9889088869094849,0.4295117259025574
9,0.855555534362793,0.989000141620636,0.41986891627311707,0.8473333120346069,0.9886704087257385,0.43066179752349854
10,0.8585555553436279,0.9893038868904114,0.4125920832157135,0.8514999747276306,0.9894991517066956,0.4131128787994385
11,0.8604629635810852,0.9894936680793762,0.406657874584198,0.8523333072662354,0.9893350601196289,0.41525182127952576
12,0.8631481528282166,0.9898124933242798,0.3990761935710907,0.8528333306312561,0.9899818301200867,0.4019366502761841
13,0.8644999861717224,0.9901317358016968,0.3928431272506714,0.8478333353996277,0.9888424873352051,0.4208492934703827
14,0.8661481738090515,0.9901979565620422,0.38812267780303955,0.8571666479110718,0.9899311661720276,0.399213582277298
15,0.8681666851043701,0.9905192255973816,0.38298705220222473,0.8588333129882812,0.9901562333106995,0.3923119604587555
16,0.8699629902839661,0.9907552599906921,0.3781144320964813,0.8603333234786987,0.9902992248535156,0.3885282874107361
17,0.8716296553611755,0.9909435510635376,0.37357446551322937,0.8601666688919067,0.9900190830230713,0.3915342092514038
18,0.8728333115577698,0.990990400314331,0.3702733516693115,0.8648333549499512,0.9908174872398376,0.3804839551448822
