epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5973703861236572,0.8957436084747314,1.5691298246383667,0.7918333411216736,0.9825329780578613,0.5487368702888489
1,0.8261666893959045,0.986234724521637,0.47447386384010315,0.824999988079071,0.9869869947433472,0.47077304124832153
2,0.8499259352684021,0.9894394278526306,0.41089215874671936,0.8454999923706055,0.9898068904876709,0.4150643050670624
3,0.8628333210945129,0.9908636212348938,0.37564247846603394,0.8621666431427002,0.9915775656700134,0.3622897267341614
4,0.8741666674613953,0.9923621416091919,0.3434777557849884,0.8733333349227905,0.9919530153274536,0.34474849700927734
5,0.8801851868629456,0.9928692579269409,0.32575857639312744,0.8675000071525574,0.9914393424987793,0.3606661856174469
6,0.8846851587295532,0.9936857223510742,0.30969101190567017,0.8816666603088379,0.9929271340370178,0.3224948048591614
7,0.8881111145019531,0.9937830567359924,0.3017922341823578,0.8686666488647461,0.9923050403594971,0.34672391414642334
8,0.8960185050964355,0.9946435689926147,0.27732062339782715,0.8726666569709778,0.9920732378959656,0.3386194705963135
9,0.897518515586853,0.9948989748954773,0.2741946876049042,0.8656666874885559,0.9902753829956055,0.37601038813591003
10,0.8985555768013,0.9948428273200989,0.2737308144569397,0.8758333325386047,0.9921342730522156,0.3341856002807617
11,0.9049999713897705,0.9955236315727234,0.2543546259403229,0.8673333525657654,0.9909123778343201,0.370758980512619
12,0.924407422542572,0.9971249103546143,0.2053653746843338,0.8911666870117188,0.993221640586853,0.2955304682254791
13,0.9306111335754395,0.9975473880767822,0.1898171603679657,0.8918333053588867,0.9931533932685852,0.2960169315338135
14,0.9315000176429749,0.9976871013641357,0.1836702674627304,0.8934999704360962,0.9932010173797607,0.29684147238731384
15,0.9342407584190369,0.9978108406066895,0.17848186194896698,0.8931666612625122,0.9930202960968018,0.29910144209861755
16,0.9360555410385132,0.9979079961776733,0.1730526089668274,0.8953333497047424,0.993290364742279,0.2923409342765808
17,0.9386110901832581,0.9980331659317017,0.16778375208377838,0.8934999704360962,0.9930329322814941,0.29644450545310974
18,0.9408703446388245,0.9981914758682251,0.16244952380657196,0.8945000171661377,0.9929357767105103,0.29699575901031494
19,0.9425740838050842,0.9982755780220032,0.15759152173995972,0.8946666717529297,0.9925390481948853,0.30179670453071594
20,0.9437222480773926,0.9983652234077454,0.15354643762111664,0.8980000019073486,0.9927766919136047,0.29807984828948975
21,0.9465555548667908,0.9984761476516724,0.1472104787826538,0.8939999938011169,0.9925171136856079,0.304612398147583
22,0.9520925879478455,0.9987090826034546,0.13485780358314514,0.8964999914169312,0.9927440881729126,0.29967200756073
23,0.9539814591407776,0.9987921714782715,0.13097915053367615,0.8971666693687439,0.9928078651428223,0.29905012249946594
24,0.9547592401504517,0.9988398551940918,0.12942983210086823,0.8973333239555359,0.9926828742027283,0.3004603385925293
25,0.9553518295288086,0.9988503456115723,0.12781614065170288,0.8980000019073486,0.9927313923835754,0.29957401752471924
26,0.956074059009552,0.9988707900047302,0.12638282775878906,0.8964999914169312,0.9925485253334045,0.3022189140319824
27,0.9578333497047424,0.9989493489265442,0.12277441471815109,0.8989999890327454,0.9922400712966919,0.3016882836818695
28,0.9576666951179504,0.998945415019989,0.12214396148920059,0.8985000252723694,0.9922618269920349,0.3008478581905365
29,0.9581111073493958,0.9989632964134216,0.12170519679784775,0.8989999890327454,0.992326557636261,0.30114686489105225
30,0.9586666822433472,0.9989688992500305,0.12125982344150543,0.8989999890327454,0.9923372268676758,0.3016444146633148
31,0.9581666588783264,0.9989697337150574,0.1211823970079422,0.8988333344459534,0.9923462271690369,0.30121660232543945
32,0.9588333368301392,0.9989787340164185,0.1200564056634903,0.8993333578109741,0.9922661781311035,0.301327645778656
33,0.9591110944747925,0.9989892840385437,0.11995331197977066,0.8991666436195374,0.992192268371582,0.3013560473918915
34,0.9592221975326538,0.9989923238754272,0.11987747997045517,0.8993333578109741,0.9921927452087402,0.3013917803764343
35,0.958907425403595,0.9989897608757019,0.11980575323104858,0.8995000123977661,0.9921891093254089,0.30143436789512634
36,0.9590555429458618,0.9989930987358093,0.1197083443403244,0.8991666436195374,0.9922617077827454,0.3015066385269165
37,0.9593518376350403,0.9989966750144958,0.119477279484272,0.8993333578109741,0.9922620058059692,0.301545649766922
38,0.9593333601951599,0.9989973306655884,0.11945565044879913,0.8996666669845581,0.9921835064888,0.30154111981391907
39,0.9593889117240906,0.9989972710609436,0.11944722384214401,0.8996666669845581,0.9921853542327881,0.301543265581131
40,0.9593148231506348,0.9989979267120361,0.11943124234676361,0.8996666669845581,0.992186963558197,0.3015442192554474
41,0.959407389163971,0.9989975094795227,0.11941443383693695,0.8995000123977661,0.9921875596046448,0.301596075296402
42,0.9593703746795654,0.9989988803863525,0.1193559393286705,0.8996666669845581,0.9921867847442627,0.3015913963317871
43,0.959407389163971,0.9989989399909973,0.11935140192508698,0.8995000123977661,0.992186427116394,0.30158331990242004
44,0.9593703746795654,0.9989989399909973,0.11934794485569,0.8995000123977661,0.9921845197677612,0.3015862703323364
45,0.959407389163971,0.9989991784095764,0.11934441328048706,0.8995000123977661,0.9921858310699463,0.3015870153903961
46,0.9593889117240906,0.9989990592002869,0.11934143304824829,0.8996666669845581,0.9921851754188538,0.30159562826156616
47,0.9593703746795654,0.9989992380142212,0.11932922154664993,0.8996666669845581,0.9921847581863403,0.30159351229667664
