epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6849074363708496,0.9376567602157593,1.2670567035675049,0.8299999833106995,0.9881547689437866,0.4445347189903259
1,0.8534814715385437,0.9897024631500244,0.401410847902298,0.8513333201408386,0.9905306696891785,0.390040785074234
2,0.8710926175117493,0.991989254951477,0.34854432940483093,0.8703333139419556,0.9915843605995178,0.3530947268009186
3,0.8844814896583557,0.9932922124862671,0.3160063624382019,0.8654999732971191,0.9911415576934814,0.36514201760292053
4,0.8916296362876892,0.9940711855888367,0.2952236533164978,0.8698333501815796,0.9911400079727173,0.3535568118095398
5,0.89811110496521,0.9945921301841736,0.2755017578601837,0.8801666498184204,0.9919937252998352,0.33379387855529785
6,0.8978333473205566,0.9945480227470398,0.2786107361316681,0.8776666522026062,0.9925612211227417,0.32612019777297974
7,0.9042222499847412,0.9954171776771545,0.2561926245689392,0.8821666836738586,0.9910857677459717,0.3425801694393158
8,0.9104629755020142,0.9959238767623901,0.23820695281028748,0.8723333477973938,0.9903375506401062,0.3597773015499115
9,0.9112407565116882,0.9959994554519653,0.2352384775876999,0.8643333315849304,0.9865816235542297,0.4167221188545227
10,0.9140370488166809,0.9961190819740295,0.2293628603219986,0.8841666579246521,0.9905150532722473,0.342536062002182
11,0.9176852107048035,0.9965304136276245,0.218377947807312,0.8766666650772095,0.9903396964073181,0.3562406897544861
12,0.93235182762146,0.9977344274520874,0.18022722005844116,0.8931666612625122,0.9914007186889648,0.3197905421257019
13,0.9370740652084351,0.997931718826294,0.16879208385944366,0.8920000195503235,0.9910627007484436,0.32816579937934875
14,0.937833309173584,0.998016893863678,0.163963183760643,0.890999972820282,0.9903867840766907,0.33061695098876953
15,0.9401296377182007,0.9981531500816345,0.1594347208738327,0.8923333287239075,0.990767240524292,0.33675944805145264
16,0.9409258961677551,0.9982184767723083,0.1561308652162552,0.8949999809265137,0.990342378616333,0.33531108498573303
17,0.9436851739883423,0.9982931017875671,0.1526106595993042,0.8946666717529297,0.9900528192520142,0.34022611379623413
18,0.9469814896583557,0.9985460638999939,0.1425960212945938,0.8966666460037231,0.9899820685386658,0.33813732862472534
19,0.9483518600463867,0.9985981583595276,0.14065785706043243,0.8933333158493042,0.9899258613586426,0.34139204025268555
20,0.9480000138282776,0.998601496219635,0.1398923546075821,0.8943333625793457,0.989996075630188,0.34249797463417053
21,0.948888897895813,0.9986276030540466,0.13875307142734528,0.8948333263397217,0.9897451996803284,0.3427540361881256
22,0.9492592811584473,0.9986081123352051,0.1377871185541153,0.8930000066757202,0.9894611239433289,0.3440628945827484
23,0.950259268283844,0.9987038373947144,0.13529230654239655,0.8961666822433472,0.9893989562988281,0.34416621923446655
24,0.9508518576622009,0.9986759424209595,0.13469572365283966,0.8949999809265137,0.9896968007087708,0.3442935347557068
25,0.9504629373550415,0.9987075328826904,0.13454198837280273,0.8949999809265137,0.989391028881073,0.34419363737106323
26,0.9511296153068542,0.9987037181854248,0.13421539962291718,0.8948333263397217,0.9893876314163208,0.3447098731994629
27,0.9509074091911316,0.9986856579780579,0.1341203898191452,0.8956666588783264,0.989378809928894,0.34549039602279663
28,0.9512222409248352,0.9987170100212097,0.13335585594177246,0.8951666951179504,0.9893842935562134,0.3452698886394501
29,0.9513518810272217,0.9987279772758484,0.1332620233297348,0.8953333497047424,0.9893099069595337,0.3452984094619751
30,0.9514814615249634,0.9987282156944275,0.13319706916809082,0.8949999809265137,0.9893932342529297,0.3453863263130188
31,0.951370358467102,0.9987291097640991,0.13316984474658966,0.8949999809265137,0.9893118739128113,0.3454563021659851
32,0.9512407183647156,0.9987208247184753,0.13310907781124115,0.8948333263397217,0.9893942475318909,0.3453344702720642
33,0.9514814615249634,0.9987332820892334,0.1329428255558014,0.8949999809265137,0.989392876625061,0.34536486864089966
