epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7703889012336731,0.9740694165229797,0.7126785516738892,0.8050000071525574,0.983608603477478,0.5362376570701599
1,0.8375185132026672,0.9867115616798401,0.4713011682033539,0.8373333215713501,0.9873886704444885,0.4558543562889099
2,0.8519074320793152,0.9888268709182739,0.4242207109928131,0.8538333177566528,0.9894174933433533,0.4134484827518463
3,0.8611851930618286,0.9899534583091736,0.3971264958381653,0.8583333492279053,0.9894886612892151,0.405790239572525
4,0.8679629564285278,0.9908366203308105,0.37739819288253784,0.8636666536331177,0.9901987910270691,0.38236600160598755
5,0.8719074130058289,0.9913941621780396,0.36265623569488525,0.871833324432373,0.9907360672950745,0.3714514970779419
6,0.877407431602478,0.9920235276222229,0.3483629822731018,0.8705000281333923,0.9913094639778137,0.3619844913482666
7,0.8802592754364014,0.9925503134727478,0.33693286776542664,0.8731666803359985,0.9914389252662659,0.36136433482170105
8,0.88355553150177,0.9929266571998596,0.326804518699646,0.8713333606719971,0.9917630553245544,0.353218674659729
9,0.8875370621681213,0.993375837802887,0.3171480894088745,0.8744999766349792,0.9911081194877625,0.3600921928882599
10,0.8898518681526184,0.9936825633049011,0.308748334646225,0.8840000033378601,0.9923909902572632,0.331637978553772
11,0.8927407264709473,0.993918240070343,0.300682008266449,0.8790000081062317,0.9920080304145813,0.3421570360660553
12,0.8950555324554443,0.9941641092300415,0.292773574590683,0.8786666393280029,0.9927825927734375,0.329352468252182
13,0.8977407217025757,0.9945051670074463,0.2858145236968994,0.8715000152587891,0.9918460845947266,0.3479906916618347
14,0.8992407321929932,0.9946625232696533,0.27990293502807617,0.8769999742507935,0.9922670125961304,0.3372557759284973
15,0.9022036790847778,0.9949262738227844,0.273216187953949,0.8843333125114441,0.9932140111923218,0.3175627291202545
16,0.9028888940811157,0.9950979351997375,0.26753559708595276,0.8853333592414856,0.9931987524032593,0.3128422200679779
17,0.9058889150619507,0.9952823519706726,0.26240187883377075,0.8851666450500488,0.9931232333183289,0.3162371516227722
18,0.9073148369789124,0.9954859614372253,0.2574366629123688,0.8870000243186951,0.9934266805648804,0.30746179819107056
19,0.9101851582527161,0.9956015944480896,0.2514881491661072,0.887499988079071,0.9929837584495544,0.31478965282440186
20,0.9111666679382324,0.9958847761154175,0.24696922302246094,0.8868333101272583,0.9931533932685852,0.3130851089954376
21,0.9138148427009583,0.9959760308265686,0.24125801026821136,0.887499988079071,0.9935269951820374,0.30769962072372437
22,0.9151666760444641,0.9960885047912598,0.23581348359584808,0.887666642665863,0.993249237537384,0.3050323724746704
23,0.9164629578590393,0.9962322115898132,0.23291288316249847,0.8888333439826965,0.9929618239402771,0.30912256240844727
24,0.9192407131195068,0.9963110685348511,0.2278456687927246,0.8899999856948853,0.9934388995170593,0.3024955987930298
25,0.9200740456581116,0.9964790344238281,0.2241816371679306,0.8911666870117188,0.9933193325996399,0.30025553703308105
26,0.9221296310424805,0.9966201186180115,0.21885165572166443,0.8821666836738586,0.99211585521698,0.327799916267395
27,0.9225555658340454,0.9966937303543091,0.21641655266284943,0.89083331823349,0.9932091236114502,0.3022031784057617
28,0.9246296286582947,0.9968171119689941,0.21145789325237274,0.893666684627533,0.9933351278305054,0.30367138981819153
29,0.9262222051620483,0.9968435764312744,0.2076607197523117,0.8928333520889282,0.9930834174156189,0.3067990839481354
30,0.9273889064788818,0.9970141649246216,0.20409181714057922,0.8884999752044678,0.9924968481063843,0.3140367567539215
31,0.9288703799247742,0.9971799850463867,0.19980254769325256,0.8913333415985107,0.9933584332466125,0.29992300271987915
32,0.9299629926681519,0.9971777200698853,0.19649340212345123,0.8848333358764648,0.9922305345535278,0.32662278413772583
33,0.9317777752876282,0.997348964214325,0.192606121301651,0.8933333158493042,0.9927156567573547,0.30432283878326416
34,0.9329814910888672,0.9972965121269226,0.19033896923065186,0.8920000195503235,0.9924235939979553,0.30905187129974365
35,0.9344444274902344,0.9975048899650574,0.18522773683071136,0.8949999809265137,0.9936222434043884,0.2952570915222168
36,0.9347407221794128,0.9975472688674927,0.1823589950799942,0.8953333497047424,0.9933221340179443,0.29879918694496155
37,0.9360926151275635,0.9976534247398376,0.17929179966449738,0.8939999938011169,0.9932475686073303,0.30909326672554016
38,0.9380185008049011,0.9976674914360046,0.1762368381023407,0.8923333287239075,0.9925822019577026,0.3045646846294403
39,0.9387592673301697,0.997821569442749,0.17274533212184906,0.8934999704360962,0.9932041168212891,0.2977027893066406
40,0.9396666884422302,0.9978246092796326,0.16965486109256744,0.89083331823349,0.9924684166908264,0.3139450252056122
41,0.9407036900520325,0.9979293942451477,0.1673644781112671,0.8848333358764648,0.9915235042572021,0.3286114037036896
42,0.9420185089111328,0.9980100393295288,0.16378824412822723,0.8888333439826965,0.9921634197235107,0.32075145840644836
